,alpha,beta,loss,x,y
792,-0.5,0.85,172.56983598632812,-29.652164459228516,46.60746765136719
793,-0.5,0.9,200.11736961669922,-28.795883178710938,48.23553466796875
794,-0.5,0.95,227.93774967041017,-27.959041595458984,49.7594108581543
795,-0.5,1.0,255.64399604492186,-27.142480850219727,51.185768127441406
796,-0.5,1.05,281.9687464599609,-26.346817016601562,52.52129364013672
797,-0.5,1.1,306.82754248046876,-25.57257843017578,53.771995544433594
798,-0.5,1.15,330.512153515625,-24.81983184814453,54.94418716430664
799,-0.5,1.2,352.7255798339844,-24.08865737915039,56.04265213012695
800,-0.45,-1.25,10.81235980834961,-28.06765365600586,-98.03917694091797
801,-0.45,-1.2,11.434882834625244,-28.961803436279297,-95.97432708740234
802,-0.45,-1.15,12.157516606140137,-29.868865966796875,-93.76527404785156
803,-0.45,-1.1,12.986155025482178,-30.785694122314453,-91.40420532226562
804,-0.45,-1.05,14.054096714019776,-31.70850372314453,-88.882568359375
805,-0.45,-1.0,15.557035280609131,-32.63273239135742,-86.19308471679688
806,-0.45,-0.95,18.185957219696046,-33.553035736083984,-83.32879638671875
807,-0.45,-0.9,22.001043730163573,-34.463417053222656,-80.28459167480469
808,-0.45,-0.85,27.88360301208496,-35.35707473754883,-77.05633544921875
809,-0.45,-0.8,37.79893275756836,-36.2263298034668,-73.64120483398438
810,-0.45,-0.75,50.95659760742188,-37.06307601928711,-70.0404052734375
811,-0.45,-0.7,68.85799161987305,-37.858402252197266,-66.25581359863281
812,-0.45,-0.65,78.89898641967774,-38.603370666503906,-62.29389190673828
813,-0.45,-0.6,68.65786633300782,-39.28839111328125,-58.163490295410156
814,-0.45,-0.55,43.57329324645996,-39.90435028076172,-53.877288818359375
815,-0.45,-0.5,20.871560777282713,-40.4425048828125,-49.451229095458984
816,-0.45,-0.45,9.279122991943359,-40.894500732421875,-44.90467834472656
817,-0.45,-0.4,4.188778366851807,-41.25330352783203,-40.260108947753906
818,-0.45,-0.35,2.4651915044784545,-41.51306915283203,-35.54280090332031
819,-0.45,-0.3,2.066410623264313,-41.66981887817383,-30.7799072265625
820,-0.45,-0.25,2.042071101665497,-41.72063446044922,-25.999813079833984
821,-0.45,-0.2,2.3196079223632813,-41.6652946472168,-21.231647491455078
822,-0.45,-0.15,2.6136400404930114,-41.50518035888672,-16.503938674926758
823,-0.45,-0.1,3.2944835235595704,-41.24365234375,-11.844133377075195
824,-0.45,-0.05,5.558513815879822,-40.885337829589844,-7.277709007263184
825,-0.45,0.0,6.85710031375885,-40.43682861328125,-2.8275060653686523
826,-0.45,0.05,7.7645690128326414,-39.90555953979492,1.4867148399353027
827,-0.45,0.1,7.689036967849732,-39.3001594543457,5.648629665374756
828,-0.45,0.15,7.767126250457764,-38.629329681396484,9.645221710205078
